epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,59.3827,1.47372,5.51897,3.6459,1.71275,0,0.00422,0.87566,0.08965,0.04537,0.0036,0.74527,0.03919,0.01863,1.2929,4.40343,3.39489,1.69097,0,0.00013332,0.00013332,0.00013332
2,64.3745,1.29291,3.63522,3.40348,1.60491,0,0.00367,0.84194,0.14039,0.07416,0.00289,0.64299,0.11241,0.05207,1.43352,4.17607,3.43683,1.92913,0,0.000272251,0.000272251,0.000272251
3,67.6831,1.31988,3.33495,3.08599,1.63234,0,0.00403,0.90027,0.20662,0.12149,0.00301,0.61837,0.12562,0.06102,1.46608,4.57265,3.32859,1.87537,0,0.000405462,0.000405462,0.000405462
4,71.1883,1.36914,3.36352,2.95449,1.67225,0,0.00432,0.91566,0.18743,0.08827,0.00323,0.62194,0.14126,0.04387,1.66564,4.93602,3.20903,1.99595,0,0.000532953,0.000532953,0.000532953
5,75.1508,1.39663,3.33988,2.84283,1.66688,0,0.82907,0.09048,0.24687,0.1129,0.83708,0.09048,0.17005,0.0498,1.97873,6.29253,2.96201,2.2726,0,0.000654726,0.000654726,0.000654726
6,79.8558,1.4373,3.17047,2.65063,1.7142,0,0.36465,0.12301,0.17149,0.07615,0.35841,0.08374,0.11964,0.04129,2.19089,5.94138,2.91612,2.47079,0,0.000770778,0.000770778,0.000770778
7,83.0688,1.37902,3.0075,2.67922,1.65256,0,0.33297,0.16601,0.11403,0.05323,0.29584,0.18641,0.09342,0.03138,2.13723,5.18077,3.17,2.45297,0,0.000881112,0.000881112,0.000881112
8,86.3357,1.4619,3.06581,2.65628,1.67899,0,0.58453,0.34381,0.21834,0.07599,0.58111,0.30381,0.15443,0.05287,1.8973,4.86976,3.31128,2.37944,0,0.000957015,0.000957015,0.000957015
9,89.917,1.34754,3.1734,2.54663,1.62086,0,0.65475,0.22655,0.25025,0.14422,0.65031,0.18586,0.20193,0.10621,1.88535,5.29016,3.36648,2.26811,0,0.000935018,0.000935018,0.000935018
10,94.886,1.4221,3.23428,2.57536,1.66486,0,0.75116,0.25572,0.34537,0.18075,0.73191,0.22263,0.26195,0.1431,1.90364,5.09945,3.16334,2.4078,0,0.00091302,0.00091302,0.00091302
11,98.1933,1.34985,3.06037,2.44417,1.58945,0,0.64635,0.28632,0.28964,0.12965,0.57985,0.27094,0.19838,0.09466,1.89504,5.0505,3.45668,2.27744,0,0.000891022,0.000891022,0.000891022
12,101.36,1.3732,2.96982,2.42701,1.61345,0,0.51148,0.33439,0.27173,0.12047,0.4342,0.30939,0.23828,0.09452,1.79222,5.07069,2.81408,2.19636,0,0.000869024,0.000869024,0.000869024
13,104.717,1.29821,2.92923,2.40228,1.56223,0,0.41991,0.36915,0.31338,0.13153,0.32546,0.36059,0.28298,0.10671,1.73231,5.11392,2.84897,2.16264,0,0.000847026,0.000847026,0.000847026
14,109.988,1.29592,2.84725,2.27603,1.54614,0,0.13168,0.46524,0.1929,0.09943,0.25374,0.26975,0.1702,0.05099,1.83768,5.06248,3.05878,2.31487,0,0.000825029,0.000825029,0.000825029
15,113.179,1.33839,2.7724,2.31194,1.54598,0,0.42042,0.26786,0.26106,0.12485,0.12665,0.33892,0.14539,0.04304,1.85511,4.72833,2.97614,2.25587,0,0.000803031,0.000803031,0.000803031
16,116.538,1.26735,2.68807,2.20673,1.49112,0,0.4746,0.26856,0.39828,0.21006,0.41285,0.24062,0.31116,0.11661,1.71439,5.03824,3.12089,2.12993,0,0.000781033,0.000781033,0.000781033
17,119.665,1.28625,2.75206,2.20415,1.49842,0,0.5154,0.34734,0.38592,0.18761,0.36363,0.2652,0.25264,0.11505,1.84068,5.00908,3.14823,2.37568,0,0.000759035,0.000759035,0.000759035
18,124.91,1.17279,2.54516,2.00124,1.46717,0,0.31847,0.53935,0.37968,0.14371,0.31855,0.23187,0.24108,0.07992,1.75483,4.91911,3.42654,2.19662,0,0.000737037,0.000737037,0.000737037
19,128.173,1.1443,2.53858,2.07117,1.4297,0,0.34163,0.4041,0.30152,0.13231,0.22079,0.43525,0.23724,0.06624,1.68402,4.81482,2.89593,2.10393,0,0.00071504,0.00071504,0.00071504
20,131.287,1.18708,2.42219,1.97206,1.41986,0,0.25218,0.44493,0.31517,0.13913,0.21536,0.38183,0.24418,0.08889,1.65352,4.66711,2.57537,2.1494,0,0.000693042,0.000693042,0.000693042
21,134.469,1.17632,2.53809,2.04699,1.46392,0,0.30582,0.35316,0.28042,0.13931,0.19444,0.33121,0.22984,0.09182,1.65492,4.76238,2.59745,2.15287,0,0.000671044,0.000671044,0.000671044
22,139.558,1.19805,2.40726,2.06253,1.47358,0,0.21941,0.34725,0.32949,0.14755,0.64594,0.25429,0.25651,0.08642,1.86889,4.74758,2.69544,2.34764,0,0.000649046,0.000649046,0.000649046
23,142.938,1.21981,2.58555,2.01744,1.46604,0,0.41542,0.39722,0.3316,0.15537,0.3431,0.35264,0.30331,0.11038,1.85137,4.33659,2.41887,2.32776,0,0.000627048,0.000627048,0.000627048
24,146.057,1.13868,2.61587,2.02363,1.42594,0,0.35699,0.36493,0.36206,0.16735,0.30527,0.29377,0.30983,0.12775,1.885,4.35036,2.38844,2.31068,0,0.000605051,0.000605051,0.000605051
25,149.415,1.06906,2.32884,1.81738,1.36176,0,0.35265,0.32832,0.35043,0.20381,0.38906,0.34689,0.35008,0.16286,1.84383,4.46406,2.40952,2.28981,0,0.000583053,0.000583053,0.000583053
26,154.311,1.07692,2.30277,1.78169,1.36579,0,0.64311,0.26749,0.32454,0.1922,0.30474,0.33833,0.32785,0.15307,1.8462,4.55258,2.4769,2.3487,0,0.000561055,0.000561055,0.000561055
27,158.114,1.09584,2.30102,1.91905,1.37011,0,0.35645,0.26749,0.32598,0.18821,0.30344,0.21392,0.24842,0.10966,1.89758,4.67249,2.5423,2.36019,0,0.000539057,0.000539057,0.000539057
28,161.372,1.06273,2.26707,1.7928,1.36684,0,0.4449,0.40273,0.37016,0.19702,0.39921,0.34916,0.29871,0.12641,1.8535,4.74161,2.52936,2.2355,0,0.000517059,0.000517059,0.000517059
29,164.687,0.99614,2.18088,1.7738,1.30997,0,0.4618,0.37196,0.38205,0.21166,0.37552,0.28982,0.25159,0.1292,1.81362,4.86657,2.43847,2.25162,0,0.000495062,0.000495062,0.000495062
30,169.693,1.11192,2.41981,1.89209,1.36249,0,0.36211,0.51864,0.41648,0.22573,0.50325,0.34798,0.31657,0.15522,1.81502,5.13489,2.5905,2.2628,0,0.000473064,0.000473064,0.000473064
31,173.559,1.05653,2.36133,1.75538,1.30456,0,0.50212,0.41548,0.41901,0.20757,0.43296,0.3372,0.32135,0.14933,1.87579,5.09407,2.53413,2.26761,0,0.000451066,0.000451066,0.000451066
32,176.839,1.00917,2.39098,1.70523,1.32055,0,0.42082,0.49374,0.43285,0.20902,0.30821,0.37892,0.32636,0.14532,1.94156,5.26051,2.59829,2.31502,0,0.000429068,0.000429068,0.000429068
33,180.135,0.9892,2.09558,1.65217,1.28856,0,0.46539,0.40381,0.4031,0.17798,0.53063,0.28874,0.31399,0.12595,2.08172,5.40606,2.52076,2.45258,0,0.00040707,0.00040707,0.00040707
34,184.718,1.01319,2.20501,1.66426,1.31515,0,0.52177,0.37878,0.40489,0.18275,0.49634,0.33283,0.34288,0.13359,2.06167,5.36786,2.47283,2.45849,0,0.000385073,0.000385073,0.000385073
35,188.575,1.02089,2.22689,1.6902,1.30866,0,0.40082,0.4585,0.40896,0.19159,0.34229,0.37449,0.34891,0.14741,1.99402,4.8115,2.39362,2.38114,0,0.000363075,0.000363075,0.000363075
36,191.911,1.03989,2.07116,1.73782,1.32545,0,0.48033,0.43806,0.40063,0.23244,0.45995,0.39242,0.37872,0.18639,1.9439,4.71711,2.38805,2.36861,0,0.000341077,0.000341077,0.000341077
37,195.107,0.99288,2.01833,1.70141,1.29808,0,0.48264,0.43293,0.4081,0.22528,0.47039,0.40548,0.37862,0.18347,1.88919,4.69154,2.32246,2.36692,0,0.000319079,0.000319079,0.000319079
38,199.722,0.92646,2.06172,1.61123,1.2328,0,0.431,0.40493,0.38003,0.23148,0.42923,0.36454,0.36182,0.17821,1.89018,4.74914,2.3497,2.40514,0,0.000297081,0.000297081,0.000297081
39,203.83,0.93962,2.01232,1.58159,1.25322,0,0.44407,0.394,0.3793,0.21979,0.41692,0.38523,0.34758,0.16642,1.91374,4.68918,2.36216,2.42976,0,0.000275084,0.000275084,0.000275084
40,206.925,0.9066,2.02202,1.58597,1.23866,0,0.45908,0.39368,0.38499,0.22784,0.46864,0.41271,0.37698,0.17275,1.93251,4.58006,2.35564,2.42044,0,0.000253086,0.000253086,0.000253086
41,212.524,1.04707,2.24743,2.35371,1.47089,0,0.48688,0.35621,0.39833,0.24703,0.55819,0.38888,0.43305,0.19448,1.81654,4.74188,2.32729,2.28711,0,0.000231088,0.000231088,0.000231088
42,217.642,0.93013,2.2272,2.20939,1.36772,0,0.57203,0.35621,0.4047,0.25193,0.64746,0.38916,0.44101,0.18713,1.74755,4.91342,2.25565,2.21756,0,0.00020909,0.00020909,0.00020909
43,220.716,0.88694,1.89078,2.12532,1.3281,0,0.44889,0.35621,0.39561,0.24092,0.50387,0.38916,0.39914,0.17306,1.71301,5.0713,2.1747,2.19425,0,0.000187092,0.000187092,0.000187092
44,224.127,0.91036,1.87137,2.12663,1.3282,0,0.34423,0.3888,0.3706,0.22815,0.70009,0.29402,0.35321,0.16494,1.65238,4.92993,2.23743,2.12304,0,0.000165095,0.000165095,0.000165095
45,227.222,0.86465,1.9072,2.21585,1.31404,0,0.3548,0.36277,0.36534,0.22703,0.67909,0.30431,0.35493,0.16457,1.6603,4.84706,2.2474,2.1382,0,0.000143097,0.000143097,0.000143097
46,232.15,0.82343,1.8648,2.10184,1.3262,0,0.70308,0.34233,0.41937,0.21761,0.66544,0.30916,0.35505,0.15987,1.6587,4.75543,2.25443,2.13578,0,0.000121099,0.000121099,0.000121099
47,235.42,0.78315,1.83741,2.09787,1.27589,0,0.68391,0.34566,0.42982,0.22225,0.63125,0.30916,0.36379,0.16666,1.73058,4.85744,2.23187,2.24167,0,9.91012e-05,9.91012e-05,9.91012e-05
48,238.433,0.81112,1.80986,2.00517,1.28738,0,0.70363,0.34003,0.43043,0.22343,0.64674,0.30916,0.36307,0.1612,1.74174,4.98098,2.18849,2.26075,0,7.71034e-05,7.71034e-05,7.71034e-05
49,241.557,0.82723,1.79745,1.86597,1.29209,0,0.73412,0.33416,0.4316,0.22338,0.71952,0.30722,0.3664,0.16699,1.75111,5.07993,2.19566,2.25892,0,5.51056e-05,5.51056e-05,5.51056e-05
